id,item,building_one_area,building_two_area,building_three_area
1855,901850,COMPLETION,SVC,NULL
1856,901860,COMPLETION,SVC,NULL
1858,901880,COMPLETION,FG,NULL
1859,901890,COMPLETION,FG,NULL
1875,901990,COMPLETION,FG,NULL
1879,902010,SORT,FG,NULL
1881,902020,SORT,TOY,NULL
1883,902030,SORT,FG,NULL
1885,902040,SORT,FG,NULL
1887,902050,SORT,TOY,NULL
1889,902060,SORT,FG,NULL
1054,902085,SORT,SORT,NULL
1891,902090,COMPLETION,TOY,NULL
1893,902100,SORT,FG,NULL
1905,902270,COMPLETION,FG,NULL
2327,902280,COMPLETION,SVC,NULL
1907,902280,SORT,TOY,NULL
1909,902290,SORT,TOY,NULL
2328,902290,COMPLETION,SVC,NULL
2540,902320,COMPLETION,FG,NULL
2505,902360,COMPLETION,FG,NULL
1055,902400,COMPLETION,TOY,NULL
1860,902450,COMPLETION,FG,NULL
1862,902490,COMPLETION,FG,NULL
1127,902610,PWIP,NULL,NULL
1166,902610,WIP,NULL,NULL
1167,902615,WIP,NULL,NULL
1129,902615,FELT,NULL,NULL
1874,902616,COMPLETION,TOY,NULL
1876,902620,COMPLETION,FG,NULL
1878,902635,COMPLETION,FG,NULL
1880,902645,COMPLETION,FG,NULL
1882,902660,COMPLETION,FG,NULL
1888,902690,COMPLETION,FG,NULL
1892,902715,COMPLETION,FG,NULL
3329,902745,COMPLETION,FG,NULL
2348,902780,SORT,NULL,NULL
3625,902780,COMPLETION,NULL,NULL
1060,902800,COMPLETION,FG,NULL
1904,902810,COMPLETION,FG,NULL
1908,902830,COMPLETION,FG,NULL
2357,902885,COMPLETION,FG,NULL
2360,902940,COMPLETION,SVC,NULL
1061,903080,SORT,FG,NULL
3545,903080,COMPLETION,SVC,NULL
1741,903110,COMPLETION,FG,NULL
1743,903120,COMPLETION,FG,NULL
1745,903130,COMPLETION,FG,NULL
1747,903140,COMPLETION,FG,NULL
1749,903150,COMPLETION,FG,NULL
1751,903160,COMPLETION,FG,NULL
3295,903200,COMPLETION,FG,NULL
2375,903260,COMPLETION,FG,NULL
2376,903270,COMPLETION,FG,NULL
1062,903290,SORT,SORT,NULL
4078,903300,COMPLETION,FG,NULL
4077,903300,SORT,NULL,NULL
1063,903310,SORT,FG,NULL
2378,903330,COMPLETION,SVC,NULL
741,903340,COMPLETION,"BHWH ROW 2",NULL
1064,903350,SORT,FG,NULL
3038,903350,COMPLETION,SVC,NULL
2379,903360,COMPLETION,FG,NULL
1767,903440,COMPLETION,FG,NULL
3235,903590,COMPLETION,FG,NULL
1790,903640,COMPLETION,FG,NULL
1065,903710,COMPLETION,FG,NULL
1066,903720,COMPLETION,FG,NULL
3549,903740,COMPLETION,NULL,NULL
1067,903740,SORT,FG,NULL
1738,903750,COMPLETION,FG,NULL
1742,903800,COMPLETION,FG,NULL
1744,903940,COMPLETION,FG,NULL
1746,903950,COMPLETION,FG,NULL
2400,903960,COMPLETION,FG,NULL
3518,903983,JRNL,WHSE,NULL
1760,904200,COMPLETION,FG,NULL
1068,904245,COMPLETION,SORT,NULL
1774,904360,COMPLETION,FG,NULL
1776,904370,COMPLETION,FG,NULL
1069,904425,COMPLETION,FG,NULL
1071,904430,COMPLETION,FG,NULL
3239,904440,EXPANSION,"BHWH ROW 2",NULL
4031,904450,MRB,FG,NULL
4030,904450,EXPANSION,NULL,NULL
1072,904460,COMPLETION,FG,NULL
3055,904720,SORT,TOY,NULL
2418,904760,COMPLETION,SVC,NULL
2419,904770,COMPLETION,SVC,NULL
3261,904850,COMPLETION,FG,NULL
2014,904860,COMPLETION,FG,NULL
2015,904870,COMPLETION,FG,NULL
2422,904990,COMPLETION,FG,NULL
1074,905360,SORT,FG,NULL
1075,905390,COMPLETION,TOY,NULL
1076,905530,COMPLETION,"BHWH ROW 1",NULL
1912,905960,COMPLETION,FG,NULL
3490,906496,COMPLETION,NULL,NULL
749,906496,SORT,FG,NULL
2016,906540,COMPLETION,TOY,NULL
2429,906580,COMPLETION,FG,NULL
3832,906630,SORT,"BHWH ROW 1",NULL
4093,906850,COMPLETION,TOY,NULL
4092,906850,SORT,NULL,NULL
4047,906910,COMPLETION,TOY,NULL
1915,907390,COMPLETION,FG,NULL
1082,907670,COMPLETION,TOY,NULL
1083,907680,COMPLETION,TOY,NULL
1084,907690,COMPLETION,TOY,NULL
1085,907700,COMPLETION,TOY,NULL
3989,908440,PWIP,NULL,NULL
4000,908445,SORT,NULL,NULL
4043,908445,COMPLETION,TOY,NULL
3998,908455,COMPLETION,TOY,NULL
1088,908760,SORT,TOY,NULL
3223,908770,SORT,TOY,NULL
4081,909310,SORT,NULL,NULL
4082,909310,PWIP,NULL,NULL
4076,909315,COMPLETION,TOY,NULL
965,934270,COMPLETION,FG,NULL
613,934272,PHOSPHATE,NULL,NULL
1920,954060,COMPLETION,FG,NULL
1091,954070,SORT,SORT,NULL
1092,954080,SORT,FG,NULL
3022,BM111,IRM,NULL,NULL
